citizen,sex,age,decision,unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
TOTAL,T,TOTAL,TEMP_PROT,PER,SI	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,SK	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,UK	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TOTAL,PER,AT	9310 	11865 	10560 	9350 	7955 	6865 	: 	: 
TOTAL,T,TOTAL,TOTAL,PER,BE	5240 	7550 	8060 	10490 	12520 	11510 	7970 	: 
TOTAL,T,TOTAL,TOTAL,PER,BG	25 	50 	35 	20 	25 	40 	20 	: 
TOTAL,T,TOTAL,TOTAL,PER,CH	6095 	5435 	4340 	3625 	3905 	3435 	2490 	: 
TOTAL,T,TOTAL,TOTAL,PER,CY	2845 	2660 	2975 	3175 	1550 	960 	495 	: 
TOTAL,T,TOTAL,TOTAL,PER,CZ	1480 	420 	425 	755 	440 	425 	565 	: 
TOTAL,T,TOTAL,TOTAL,PER,DE	11070 	6740 	7800 	24630 	29545 	36805 	44465 	: 
TOTAL,T,TOTAL,TOTAL,PER,DK	480 	440 	1080 	2240 	1495 	1665 	1795 	: 
TOTAL,T,TOTAL,TOTAL,PER,EE	0 	0 	5 	10 	5 	0 	5 	: 
TOTAL,T,TOTAL,TOTAL,PER,EL	1340 	2105 	45 	625 	1650 	3900 	7665 	: 
TOTAL,T,TOTAL,TOTAL,PER,ES	1140 	1715 	1545 	1125 	1145 	1110 	920 	: 
TOTAL,T,TOTAL,TOTAL,PER,EU28	87175 d	93620 d	97890 	128780 	132310 	134885 	132340 	13315 d
TOTAL,T,TOTAL,TOTAL,PER,FI	95 	65 	115 	340 	335 	230 	210 	: 
TOTAL,T,TOTAL,TOTAL,PER,FR	24350 	19565 	23095 	34595 	36255 	37560 	37095 	: 
TOTAL,T,TOTAL,TOTAL,PER,HR	: 	: 	: 	: 	135 	95 	110 	: 
TOTAL,T,TOTAL,TOTAL,PER,HU	55 	150 	190 	325 	405 	685 	840 	480 
TOTAL,T,TOTAL,TOTAL,PER,IE	2460 d	3425 d	2785 	1325 	690 	580 	210 	: 
TOTAL,T,TOTAL,TOTAL,PER,IS	10 	30 	10 	0 	15 	100 	60 	: 
TOTAL,T,TOTAL,TOTAL,PER,IT	30 	1525 	1530 	1505 	1235 	95 	55 	: 
TOTAL,T,TOTAL,TOTAL,PER,LI	0 d	80 	60 	60 	70 	55 	0 	: 
TOTAL,T,TOTAL,TOTAL,PER,LT	35 	55 	65 	30 	215 	35 	15 	: 
TOTAL,T,TOTAL,TOTAL,PER,LU	480 	205 	190 	380 	910 	670 	740 	: 
TOTAL,T,TOTAL,TOTAL,PER,LV	15 	15 	15 	20 	50 	55 	35 	: 
TOTAL,T,TOTAL,TOTAL,PER,MT	230 	475 	325 	505 	435 	140 	260 	: 
TOTAL,T,TOTAL,TOTAL,PER,NL	800 	685 	1350 	2760 	770 p	1895 p	1445 	: 
TOTAL,T,TOTAL,TOTAL,PER,NO	4480 	8510 	10120 	8675 	8170 	10475 	8470 	: 
TOTAL,T,TOTAL,TOTAL,PER,PL	185 	100 	110 	2270 	970 	1050 	1380 	: 
TOTAL,T,TOTAL,TOTAL,PER,PT	0 	0 	20 	20 	65 	100 	95 	: 
TOTAL,T,TOTAL,TOTAL,PER,RO	235 	670 	530 	1290 	2225 	1550 	170 	: 
TOTAL,T,TOTAL,TOTAL,PER,SE	11130 	15435 	12850 	13225 	15975 	12985 	13165 	12805 
TOTAL,T,TOTAL,TOTAL,PER,SI	100 	70 	15 	75 	35 	70 	70 	35 
TOTAL,T,TOTAL,TOTAL,PER,SK	70 	35 	170 	5 	70 	115 	60 	: 
TOTAL,T,TOTAL,TOTAL,PER,UK	13975 	17595 	21995 	17690 	15205 	13690 	12485 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,AT	2230 	1780 	1435 	1785 	1540 	1425 	: 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,BE	395 	280 	280 	475 	325 	430 	470 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,BG	10 	10 	20 	15 	25 	40 	20 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,CH	735 	640 	435 	355 	300 	215 	165 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,CY	35 	80 	110 	65 	45 	90 	225 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,CZ	45 	25 	50 	385 	25 	20 	35 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,DE	2775 	2295 	2465 	3370 	5025 	5955 	6995 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,DK	165 	130 	285 	420 	410 	550 	290 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,EE	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,EL	360 	40 	40 	410 	530 	910 	1880 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,ES	30 	30 	15 	20 	40 	20 	15 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,EU28	19140 d	20070 d	20245 	24705 	25240 	24675 	23350 	2305 d
TOTAL,T,TOTAL,TOTAL_POS,PER,FI	80 	50 	70 	275 	280 	180 	165 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,FR	6320 	5365 	5280 	6125 	5680 	5450 	5825 d	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,HR	: 	: 	: 	: 	35 d	0 	0 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,HU	0 	10 	25 	50 	110 	60 	40 	40 d
TOTAL,T,TOTAL,TOTAL_POS,PER,IE	295 d	270 d	130 	75 	45 	55 	95 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,IS	0 	5 	0 	0 	0 	5 	5 d	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,IT	0 	45 	275 	325 	790 	75 	45 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,LI	0 d	0 	0 	15 	20 	0 	0 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,LT	0 	5 	0 	0 	0 	5 	5 d	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,LU	55 	30 	35 	50 	5 	10 	10 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,LV	0 	5 	0 	10 	5 	10 	0 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,MT	0 	0 	0 	0 	20 	0 	35 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,NL	415 	255 	675 	1555 	125 dp	1075 p	700 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,NO	665 	430 	415 	710 	945 	1005 	960 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,PL	30 	95 	50 	100 	70 	50 	20 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,PT	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,RO	45 	95 	110 	110 	275 	925 	35 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,SE	825 	1995 	1250 	1825 	2895 	2380 	2385 	2260 d
TOTAL,T,TOTAL,TOTAL_POS,PER,SI	0 	0 	0 	0 	0 	0 	0 	5 d
TOTAL,T,TOTAL,TOTAL_POS,PER,SK	10 	15 	5 	5 	10 	5 	5 	: 
TOTAL,T,TOTAL,TOTAL_POS,PER,UK	5025 	7165 	7635 	7255 	6920 	4955 	4060 	: 
